Name	Males	Females	Total	MedianAge	25thPercentile	75thPercentile
Shams	16	5	21	16.0	16.0	22.0
Harumi	21	165	186	86.0	81.0	93.75
Lestie	0	15	15	98.5	95.75	101.25
Chenika	0	81	81	31.0	28.0	34.0
Jermonte	18	0	18	20.0	17.0	22.0
Patriece	0	85	85	40.0	31.0	45.0
Yukta	0	5	5	15.0	15.0	15.0
Jameca	0	202	202	33.0	25.0	37.0
Keyjuan	10	0	10	19.0	16.0	22.0
Shama	0	314	314	31.0	25.0	36.0
Jermeka	0	107	107	25.0	21.0	31.5
Jamece	0	5	5	27.0	27.0	27.0
Chakyra	0	23	23	17.0	15.0	17.0
Shami	0	17	17	41.0	35.0	50.0
Atherine	0	42	42	29.0	28.0	32.0
Doloros	0	82	82	84.0	82.0	85.0
Jaedah	0	12	12	16.0	15.0	17.0
Lanasha	0	49	49	24.0	18.0	28.0
Idali	0	74	74	18.0	16.0	21.5
Marlenne	0	190	190	21.0	17.0	24.0
Nasheema	0	23	23	21.0	21.0	25.0
Coltin	769	0	769	19.0	17.0	22.0
Karrisa	0	207	207	24.0	20.0	29.0
Vincentine	0	18	18	79.0	79.0	95.0
Dementrius	16	0	16	31.0	28.0	37.0
Temeca	0	93	93	38.0	35.0	40.0
Vincentina	0	80	80	80.0	73.0	85.0
Ziomara	0	111	111	23.0	20.0	29.0
Shakitta	0	6	6	28.0	28.0	28.0
Kathlean	0	253	253	62.0	55.0	69.0
Kedesha	0	17	17	21.0	21.0	22.0
Shozo	19	0	19	94.0	90.5	97.5
Kahlel	5	0	5	16.0	16.0	16.0
Contrell	146	0	146	27.0	23.0	34.75
Susie	234	64933	65167	58.0	50.0	69.0
Avidan	5	0	5	19.0	19.0	19.0
Ranique	0	34	34	19.0	16.0	22.0
Dafne	0	254	254	19.0	16.0	23.0
Kahlea	0	36	36	17.0	16.0	19.0
Kreed	16	0	16	17.0	15.0	18.0
Chynna	0	1875	1875	21.0	18.0	24.0
Susin	0	5	5	63.0	63.0	63.0
Aleina	0	92	92	20.0	17.0	23.0
Aleine	0	32	32	93.0	90.25	96.5
Vaishnavi	0	54	54	16.0	15.0	16.0
Elvon	23	0	23	81.5	71.0	93.5
Chivas	134	0	134	34.0	30.0	37.0
Jeret	165	0	165	28.0	21.0	35.0
Latechia	0	26	26	41.0	38.0	43.0
Rodonna	0	5	5	64.0	64.0	64.0
Reynol	50	0	50	25.0	22.5	30.0
Kishana	0	73	73	32.0	26.0	37.0
Inus	0	26	26	91.0	88.0	94.0
Phylisa	0	6	6	48.0	48.0	48.0
Safia	0	353	353	23.0	18.0	29.0
Joslin	10	561	571	25.0	19.0	34.0
Dorothye	0	317	317	75.0	69.0	82.0
Corinne	15	38797	38812	41.0	28.0	59.0
Kristol	0	255	255	35.0	31.0	39.0
Corinna	0	5985	5985	39.0	27.0	47.0
Ndya	0	5	5	20.0	20.0	20.0
Phyliss	0	2401	2401	63.0	54.0	71.0
Toyoko	0	196	196	90.0	85.5	95.0
Lavanna	0	39	39	29.0	27.0	69.0
Timofey	48	0	48	17.0	16.0	18.0
Leiby	5	0	5	15.0	15.0	15.0
Dasmine	36	46	82	23.0	21.0	24.0
Nigel	7716	85	7801	24.0	20.0	33.0
Adrina	0	657	657	29.0	23.0	40.0
Queneshia	0	5	5	32.0	32.0	32.0
Adrine	5	64	69	40.0	24.0	43.75
Shurley	16	0	16	87.0	82.0	92.75
